Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,42.04999923706055,45.0,38.0,38.22999954223633,38.08451461791992,573576400
2012-05-21,36.529998779296875,36.65999984741211,33.0,34.029998779296875,33.9005012512207,168192700
2012-05-22,32.61000061035156,33.59000015258789,30.940000534057617,31.0,30.88203239440918,101786600
2012-05-23,31.3700008392334,32.5,31.360000610351562,32.0,31.87822723388672,73600000
2012-05-24,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,32.9043083190918,50237200
2012-05-25,32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,31.788570404052734,37149800
2012-05-29,31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,28.730253219604492,78063400
2012-05-30,28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,28.082725524902344,57267900
2012-05-31,28.549999237060547,29.670000076293945,26.829999923706055,29.600000381469727,29.48736000061035,111639200
2012-06-01,28.889999389648438,29.149999618530273,27.389999389648438,27.719999313354492,27.61451530456543,41855500
2012-06-04,27.200000762939453,27.649999618530273,26.440000534057617,26.899999618530273,26.79763412475586,35230300
2012-06-05,26.700000762939453,27.760000228881836,25.75,25.8700008392334,25.771554946899414,42473400
2012-06-06,26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942383,26.707975387573242,61489200
2012-06-07,27.0,27.350000381469727,26.149999618530273,26.309999465942383,26.20987892150879,26159500
2012-06-08,26.549999237060547,27.760000228881836,26.440000534057617,27.100000381469727,26.996871948242188,38034000
2012-06-11,27.18000030517578,28.06999969482422,26.84000015258789,27.010000228881836,26.907215118408203,28219600
2012-06-12,27.479999542236328,27.770000457763672,26.959999084472656,27.399999618530273,27.295732498168945,15816800
2012-06-13,27.65999984741211,28.100000381469727,27.100000381469727,27.270000457763672,27.166229248046875,17102800
2012-06-14,27.649999618530273,28.31999969482422,27.3799991607666,28.290000915527344,28.18234634399414,16855000
2012-06-15,28.510000228881836,30.100000381469727,28.350000381469727,30.010000228881836,29.89579963684082,43563800
2012-06-18,29.959999084472656,32.08000183105469,29.40999984741211,31.40999984741211,31.29047393798828,42978900
2012-06-19,31.540000915527344,32.18000030517578,30.700000762939453,31.90999984741211,31.788570404052734,30849000
2012-06-20,31.920000076293945,31.93000030517578,31.149999618530273,31.600000381469727,31.479751586914062,15553600
2012-06-21,31.670000076293945,32.5,31.510000228881836,31.84000015258789,31.718835830688477,21875300
